00:00:00.000,00:00:13.367
00:00:13.367,00:00:25.300
00:00:25.300,00:00:41.400
00:00:41.400,00:01:08.200
00:01:08.200,00:01:19.867
00:01:19.867,00:01:31.733
00:01:31.733,00:01:57.967
00:01:57.967,00:02:19.033
00:02:19.033,00:02:29.700
00:02:29.700,00:02:41.700
00:02:41.700,00:03:18.633
00:03:18.633,00:03:58.300
00:03:58.300,00:04:28.467
00:04:28.467,00:04:57.533
00:04:57.533,00:05:18.533
00:05:18.533,00:05:44.533
00:05:44.533,00:05:57.767
00:05:57.767,00:06:07.100
00:06:07.100,00:06:09.300
00:06:09.300,00:06:46.333
00:06:46.333,00:07:18.700
00:07:18.700,00:07:59.567
00:07:59.567,00:09:12.367
00:09:12.367,00:09:25.567
00:09:25.567,00:09:38.833
00:09:38.833,00:10:06.200
00:10:06.200,00:10:36.533
00:10:36.533,00:11:04.900
00:11:04.900,00:11:30.033
00:11:30.033,00:11:35.133
00:11:35.133,00:11:42.033
00:11:42.033,00:11:42.100
